Entity,Code,Year,Global average temperature anomaly relative to 1861-1890,Lower bound of the annual temperature anomaly (95% confidence interval),Upper bound of the annual temperature anomaly (95% confidence interval)
Northern Hemisphere,,1850,-0.055067,-0.25498226,0.14484823
Northern Hemisphere,,1851,0.1615803,-0.047568765,0.37072936
Northern Hemisphere,,1852,0.14512725,-0.076859556,0.36711407
Northern Hemisphere,,1853,0.13543713,-0.08236965,0.35324392
Northern Hemisphere,,1854,0.2061396,0.009938722,0.40234047
Northern Hemisphere,,1855,0.13525501,-0.06929334,0.33980337
Northern Hemisphere,,1856,0.04728845,-0.15713993,0.25171682
Northern Hemisphere,,1857,-0.07056733,-0.27351394,0.1323793
Northern Hemisphere,,1858,0.022224907,-0.18125501,0.22570485
Northern Hemisphere,,1859,0.1330458,-0.06025454,0.32634613
Northern Hemisphere,,1860,-0.07820275,-0.27570894,0.11930344
Northern Hemisphere,,1861,-0.024383958,-0.26938888,0.22062095
Northern Hemisphere,,1862,-0.32068256,-0.5667591,-0.074605964
Northern Hemisphere,,1863,0.07966859,-0.1931242,0.35246134
Northern Hemisphere,,1864,-0.08087095,-0.3373734,0.17563154
Northern Hemisphere,,1865,0.013526325,-0.27421984,0.30127248
Northern Hemisphere,,1866,0.007045571,-0.24875763,0.2628488
Northern Hemisphere,,1867,-0.024325486,-0.31140772,0.2627567
Northern Hemisphere,,1868,0.02238432,-0.23508635,0.27985495
Northern Hemisphere,,1869,0.13202271,-0.0931664,0.35721183
Northern Hemisphere,,1870,0.06868789,-0.13351664,0.2708924
Northern Hemisphere,,1871,-0.0600903,-0.2819433,0.16176267
Northern Hemisphere,,1872,0.023669574,-0.1791555,0.22649467
Northern Hemisphere,,1873,0.0053049666,-0.1900886,0.20069854
Northern Hemisphere,,1874,0.08709658,-0.112561576,0.28675473
Northern Hemisphere,,1875,-0.10289302,-0.2991688,0.09338275
Northern Hemisphere,,1876,-0.05413693,-0.236635,0.1283611
Northern Hemisphere,,1877,0.27946702,0.101336844,0.45759717
Northern Hemisphere,,1878,0.45204005,0.28172576,0.6223543
Northern Hemisphere,,1879,0.044580672,-0.13342485,0.22258621
Northern Hemisphere,,1880,-0.0031684595,-0.18386671,0.17752983
Northern Hemisphere,,1881,0.09677938,-0.07219603,0.2657548
Northern Hemisphere,,1882,0.007850175,-0.16556373,0.18126407
Northern Hemisphere,,1883,-0.046234157,-0.20554271,0.1130744
Northern Hemisphere,,1884,-0.25363216,-0.40139553,-0.10586875
Northern Hemisphere,,1885,-0.12880734,-0.27331164,0.015697006
Northern Hemisphere,,1886,-0.064637,-0.20715019,0.07787619
Northern Hemisphere,,1887,-0.11338975,-0.2674125,0.040632997
Northern Hemisphere,,1888,0.00838009,-0.15115628,0.16791645
Northern Hemisphere,,1889,0.12036339,-0.037766274,0.27849302
Northern Hemisphere,,1890,-0.14284292,-0.30906436,0.023378555
Northern Hemisphere,,1891,-0.031072702,-0.20256677,0.14042139
Northern Hemisphere,,1892,-0.19523093,-0.3615692,-0.028892692
Northern Hemisphere,,1893,-0.17589429,-0.34414616,-0.0076423544
Northern Hemisphere,,1894,-0.061767455,-0.22632149,0.10278658
Northern Hemisphere,,1895,-0.06429144,-0.22748438,0.09890146
Northern Hemisphere,,1896,0.087389,-0.069707565,0.24448556
Northern Hemisphere,,1897,0.12926888,-0.032893594,0.2914314
Northern Hemisphere,,1898,-0.049617704,-0.20217898,0.10294358
Northern Hemisphere,,1899,0.047784124,-0.10477664,0.2003449
Northern Hemisphere,,1900,0.18289912,0.03683457,0.32896367
Northern Hemisphere,,1901,0.16592212,0.010464375,0.32137987
Northern Hemisphere,,1902,-0.079038374,-0.23232546,0.07424874
Northern Hemisphere,,1903,-0.12423136,-0.26665404,0.018191341
Northern Hemisphere,,1904,-0.19744322,-0.343178,-0.051708397
Northern Hemisphere,,1905,-0.022676524,-0.15221533,0.106862284
Northern Hemisphere,,1906,0.120518185,-0.02582499,0.26686138
Northern Hemisphere,,1907,-0.15572718,-0.28173938,-0.029714938
Northern Hemisphere,,1908,-0.09693255,-0.22672173,0.032856617
Northern Hemisphere,,1909,-0.11278056,-0.23078176,0.005220626
Northern Hemisphere,,1910,-0.11040311,-0.23496994,0.014163737
Northern Hemisphere,,1911,-0.07211446,-0.1876823,0.04345334
Northern Hemisphere,,1912,-0.1492354,-0.2604755,-0.037995275
Northern Hemisphere,,1913,-0.11363318,-0.22628573,-0.0009806113
Northern Hemisphere,,1914,0.111980535,0.0055130166,0.21844807
Northern Hemisphere,,1915,0.20557371,0.09804822,0.3130992
Northern Hemisphere,,1916,-0.062365796,-0.1720154,0.047283832
Northern Hemisphere,,1917,-0.20338956,-0.31196472,-0.09481432
Northern Hemisphere,,1918,-0.08821573,-0.19398174,0.017550234
Northern Hemisphere,,1919,0.008888607,-0.1011905,0.11896772
Northern Hemisphere,,1920,0.07203216,-0.041416433,0.18548074
Northern Hemisphere,,1921,0.21793915,0.11104966,0.32482865
Northern Hemisphere,,1922,0.078594424,-0.027899262,0.18508808
Northern Hemisphere,,1923,0.1259217,0.032002453,0.21984094
Northern Hemisphere,,1924,0.18856066,0.09257052,0.2845508
Northern Hemisphere,,1925,0.21273372,0.1173271,0.30814034
Northern Hemisphere,,1926,0.37933686,0.28330505,0.47536865
Northern Hemisphere,,1927,0.27445424,0.1920914,0.35681707
Northern Hemisphere,,1928,0.29389182,0.20382327,0.38396037
Northern Hemisphere,,1929,0.04474229,-0.040185895,0.12967044
Northern Hemisphere,,1930,0.35081705,0.26492327,0.43671083
Northern Hemisphere,,1931,0.42669213,0.34082988,0.51255435
Northern Hemisphere,,1932,0.34339574,0.25565988,0.4311316
Northern Hemisphere,,1933,0.11577792,0.032374714,0.19918112
Northern Hemisphere,,1934,0.3274267,0.2505584,0.404295
Northern Hemisphere,,1935,0.2942787,0.21690722,0.3716502
Northern Hemisphere,,1936,0.3198338,0.24648647,0.39318112
Northern Hemisphere,,1937,0.5025954,0.42354563,0.58164525
Northern Hemisphere,,1938,0.5403174,0.46770474,0.6129301
Northern Hemisphere,,1939,0.43422043,0.35606024,0.51238066
Northern Hemisphere,,1940,0.50281006,0.41760302,0.5880171
Northern Hemisphere,,1941,0.45631954,0.29634723,0.6162919
Northern Hemisphere,,1942,0.44097042,0.29228187,0.589659
Northern Hemisphere,,1943,0.49330673,0.34150803,0.6451054
Northern Hemisphere,,1944,0.60089463,0.4455886,0.7562007
Northern Hemisphere,,1945,0.46436378,0.304559,0.6241686
Northern Hemisphere,,1946,0.3693552,0.25684834,0.4818621
Northern Hemisphere,,1947,0.42503858,0.32347265,0.52660453
Northern Hemisphere,,1948,0.38005054,0.28269154,0.47740954
Northern Hemisphere,,1949,0.3133171,0.23481789,0.39181632
Northern Hemisphere,,1950,0.18993662,0.12634557,0.25352767
Northern Hemisphere,,1951,0.4346785,0.3844967,0.48486033
Northern Hemisphere,,1952,0.45064667,0.39572793,0.5055654
Northern Hemisphere,,1953,0.5874084,0.530252,0.64456487
Northern Hemisphere,,1954,0.34971154,0.29854476,0.4008783
Northern Hemisphere,,1955,0.25524187,0.20068167,0.30980203
Northern Hemisphere,,1956,0.101699926,0.047182802,0.15621707
Northern Hemisphere,,1957,0.3450615,0.29424092,0.3958821
Northern Hemisphere,,1958,0.463525,0.41707748,0.5099725
Northern Hemisphere,,1959,0.427905,0.38200665,0.47380337
Northern Hemisphere,,1960,0.3812258,0.34124058,0.421211
Northern Hemisphere,,1961,0.37409857,0.33945966,0.40873748
Northern Hemisphere,,1962,0.42903498,0.3928318,0.46523818
Northern Hemisphere,,1963,0.4511935,0.41200158,0.49038547
Northern Hemisphere,,1964,0.11982728,0.08342085,0.15623371
Northern Hemisphere,,1965,0.18569663,0.14618948,0.2252038
Northern Hemisphere,,1966,0.2918693,0.25119334,0.3325453
Northern Hemisphere,,1967,0.34169662,0.30679095,0.3766023
Northern Hemisphere,,1968,0.24159104,0.21164052,0.27154154
Northern Hemisphere,,1969,0.28049123,0.24859665,0.31238583
Northern Hemisphere,,1970,0.25832948,0.23035182,0.28630713
Northern Hemisphere,,1971,0.15186635,0.122209616,0.1815231
Northern Hemisphere,,1972,0.13094598,0.10332135,0.15857063
Northern Hemisphere,,1973,0.40243065,0.37564167,0.42921966
Northern Hemisphere,,1974,0.13119599,0.0994995,0.16289249
Northern Hemisphere,,1975,0.2699471,0.24232747,0.29756674
Northern Hemisphere,,1976,0.12896669,0.102093495,0.1558399
Northern Hemisphere,,1977,0.4597997,0.42923287,0.49036652
Northern Hemisphere,,1978,0.36893275,0.3403505,0.397515
Northern Hemisphere,,1979,0.41191036,0.38432047,0.43950024
Northern Hemisphere,,1980,0.5201363,0.49047056,0.549802
Northern Hemisphere,,1981,0.72079253,0.6910218,0.75056326
Northern Hemisphere,,1982,0.37095115,0.34149536,0.40040693
Northern Hemisphere,,1983,0.5730429,0.5456305,0.6004554
Northern Hemisphere,,1984,0.35120758,0.32477278,0.3776424
Northern Hemisphere,,1985,0.32880247,0.2975481,0.36005685
Northern Hemisphere,,1986,0.4428468,0.41617697,0.46951666
Northern Hemisphere,,1987,0.5765443,0.54727125,0.60581726
Northern Hemisphere,,1988,0.69649047,0.6689041,0.72407687
Northern Hemisphere,,1989,0.59819657,0.57008976,0.6263033
Northern Hemisphere,,1990,0.84481627,0.8162917,0.8733408
Northern Hemisphere,,1991,0.7660203,0.7379599,0.7940807
Northern Hemisphere,,1992,0.4777385,0.44712582,0.5083512
Northern Hemisphere,,1993,0.5732742,0.54467106,0.60187733
Northern Hemisphere,,1994,0.704055,0.6754013,0.7327088
Northern Hemisphere,,1995,0.9494654,0.9195006,0.97943014
Northern Hemisphere,,1996,0.6725781,0.64332783,0.70182836
Northern Hemisphere,,1997,0.9155499,0.88551897,0.9455808
Northern Hemisphere,,1998,1.0951204,1.0627798,1.1274611
Northern Hemisphere,,1999,0.85719246,0.82622033,0.8881646
Northern Hemisphere,,2000,0.8679054,0.83794796,0.89786273
Northern Hemisphere,,2001,1.0090723,0.9768311,1.0413134
Northern Hemisphere,,2002,1.0495435,1.0192934,1.0797937
Northern Hemisphere,,2003,1.1013008,1.0697815,1.1328202
Northern Hemisphere,,2004,1.0143192,0.9831035,1.0455348
Northern Hemisphere,,2005,1.2122287,1.1804106,1.2440468
Northern Hemisphere,,2006,1.1755902,1.1431017,1.2080786
Northern Hemisphere,,2007,1.2129318,1.1812227,1.2446408
Northern Hemisphere,,2008,1.0525335,1.0206437,1.0844233
Northern Hemisphere,,2009,1.0875689,1.0558287,1.1193092
Northern Hemisphere,,2010,1.300329,1.2688574,1.3318005
Northern Hemisphere,,2011,1.1061754,1.0749643,1.1373864
Northern Hemisphere,,2012,1.1651609,1.1311724,1.1991495
Northern Hemisphere,,2013,1.1575035,1.124981,1.1900259
Northern Hemisphere,,2014,1.2886233,1.2573667,1.31988
Northern Hemisphere,,2015,1.51167,1.476668,1.546672
Northern Hemisphere,,2016,1.6360222,1.604678,1.6673665
Northern Hemisphere,,2017,1.4962262,1.4650158,1.5274366
Northern Hemisphere,,2018,1.340491,1.3067074,1.3742746
Northern Hemisphere,,2019,1.5245727,1.4891192,1.5600263
Northern Hemisphere,,2020,1.6567389,1.6178463,1.6956315
Northern Hemisphere,,2021,1.459022,1.421022,1.4970222
Northern Hemisphere,,2022,1.4806312,1.4397799,1.5214825
Northern Hemisphere,,2023,1.7946954,1.7513818,1.8380089
Northern Hemisphere,,2024,1.9299376,1.8845375,1.9753376
Northern Hemisphere,,2025,1.9375346,1.6781174,2.1969519
Southern hemisphere,,1850,-0.055760294,-0.2906541,0.17913352
Southern hemisphere,,1851,0.09631559,-0.14955297,0.34218416
Southern hemisphere,,1852,0.12067008,-0.11611232,0.3574525
Southern hemisphere,,1853,0.048449486,-0.1499064,0.24680534
Southern hemisphere,,1854,-0.064585805,-0.23697147,0.10779989
Southern hemisphere,,1855,-0.004493027,-0.17415795,0.1651719
Southern hemisphere,,1856,0.036599606,-0.13358384,0.20678307
Southern hemisphere,,1857,-0.13929725,-0.30510846,0.026513964
Southern hemisphere,,1858,-0.07516077,-0.24589625,0.09557468
Southern hemisphere,,1859,0.029019356,-0.13821402,0.19625272
Southern hemisphere,,1860,0.022467911,-0.15036228,0.19529809
Southern hemisphere,,1861,-0.1092464,-0.2938268,0.07533395
Southern hemisphere,,1862,-0.027460665,-0.21518353,0.16026218
Southern hemisphere,,1863,-0.04356125,-0.24352327,0.1564008
Southern hemisphere,,1864,-0.12546372,-0.3271617,0.07623428
Southern hemisphere,,1865,0.046106488,-0.15425432,0.2464673
Southern hemisphere,,1866,0.034974933,-0.1750904,0.24504024
Southern hemisphere,,1867,0.034932762,-0.17257085,0.24243636
Southern hemisphere,,1868,-0.0014431169,-0.19462463,0.19173837
Southern hemisphere,,1869,-0.040611118,-0.21551481,0.13429253
Southern hemisphere,,1870,0.000052572228,-0.15307131,0.15317644
Southern hemisphere,,1871,0.047560304,-0.10038838,0.19550897
Southern hemisphere,,1872,0.044704765,-0.107394636,0.19680414
Southern hemisphere,,1873,0.036696732,-0.10709047,0.1804839
Southern hemisphere,,1874,-0.109003454,-0.25257376,0.03456685
Southern hemisphere,,1875,0.076236635,-0.07155073,0.224024
Southern hemisphere,,1876,-0.06948739,-0.22643414,0.087459326
Southern hemisphere,,1877,0.24291082,0.088346034,0.3974756
Southern hemisphere,,1878,0.24992508,0.100822985,0.39902717
Southern hemisphere,,1879,0.07274616,-0.06855485,0.21404718
Southern hemisphere,,1880,0.09609981,-0.044449806,0.23664942
Southern hemisphere,,1881,0.16332506,0.013054849,0.31359527
Southern hemisphere,,1882,0.12568516,-0.010475188,0.2618455
Southern hemisphere,,1883,0.07788083,-0.053157687,0.20891935
Southern hemisphere,,1884,-0.006412505,-0.13707632,0.12425132
Southern hemisphere,,1885,-0.08884436,-0.22626194,0.048573256
Southern hemisphere,,1886,-0.052574724,-0.1837925,0.07864308
Southern hemisphere,,1887,-0.15958628,-0.3013905,-0.017782062
Southern hemisphere,,1888,-0.04254237,-0.16763374,0.082549036
Southern hemisphere,,1889,0.10444102,-0.036943644,0.24582568
Southern hemisphere,,1890,-0.14627793,-0.28673425,-0.0058216145
Southern hemisphere,,1891,-0.046961695,-0.20056835,0.10664493
Southern hemisphere,,1892,-0.09529063,-0.25620607,0.06562477
Southern hemisphere,,1893,-0.08874869,-0.25373068,0.0762333
Southern hemisphere,,1894,-0.18116489,-0.3458114,-0.016518414
Southern hemisphere,,1895,-0.10861626,-0.2639803,0.046747744
Southern hemisphere,,1896,0.06919196,-0.09115645,0.22954036
Southern hemisphere,,1897,0.07572627,-0.08828238,0.23973493
Southern hemisphere,,1898,-0.19737104,-0.35878697,-0.0359551
Southern hemisphere,,1899,-0.03405595,-0.19466892,0.12655704
Southern hemisphere,,1900,0.07270858,-0.095632315,0.24104944
Southern hemisphere,,1901,-0.028147131,-0.19356474,0.13727047
Southern hemisphere,,1902,-0.07427922,-0.23309568,0.08453727
Southern hemisphere,,1903,-0.21774736,-0.37316605,-0.062328637
Southern hemisphere,,1904,-0.27298346,-0.42636922,-0.11959767
Southern hemisphere,,1905,-0.06831443,-0.22525057,0.088621706
Southern hemisphere,,1906,-0.03414029,-0.18615088,0.1178703
Southern hemisphere,,1907,-0.12782994,-0.28007886,0.02441898
Southern hemisphere,,1908,-0.20611134,-0.35389313,-0.058329552
Southern hemisphere,,1909,-0.23399827,-0.37826464,-0.08973187
Southern hemisphere,,1910,-0.22682038,-0.37333468,-0.08030611
Southern hemisphere,,1911,-0.2814481,-0.42827198,-0.13462427
Southern hemisphere,,1912,-0.07724643,-0.21275702,0.058264196
Southern hemisphere,,1913,-0.095793515,-0.25170776,0.06012073
Southern hemisphere,,1914,0.08774179,-0.07061511,0.24609871
Southern hemisphere,,1915,0.1356774,-0.043043107,0.3143979
Southern hemisphere,,1916,-0.05308503,-0.24449834,0.13832824
Southern hemisphere,,1917,-0.15765437,-0.36502728,0.04971859
Southern hemisphere,,1918,-0.035916954,-0.26354495,0.191711
Southern hemisphere,,1919,0.06512877,-0.1557152,0.2859727
Southern hemisphere,,1920,0.055853188,-0.1420376,0.25374398
Southern hemisphere,,1921,0.025767624,-0.1632413,0.21477658
Southern hemisphere,,1922,-0.03202632,-0.1954228,0.13137017
Southern hemisphere,,1923,-0.036689937,-0.202871,0.12949108
Southern hemisphere,,1924,-0.08756858,-0.25573793,0.08060077
Southern hemisphere,,1925,-0.052422196,-0.22226468,0.11742027
Southern hemisphere,,1926,0.10014863,-0.06101051,0.2613078
Southern hemisphere,,1927,-0.008085935,-0.17223737,0.15606552
Southern hemisphere,,1928,0.017772079,-0.15407532,0.18961947
Southern hemisphere,,1929,-0.10503283,-0.27898416,0.06891844
Southern hemisphere,,1930,0.020167619,-0.1610224,0.20135762
Southern hemisphere,,1931,0.091108024,-0.0810017,0.26321775
Southern hemisphere,,1932,0.09027633,-0.07223195,0.25278458
Southern hemisphere,,1933,-0.035871267,-0.19723794,0.12549542
Southern hemisphere,,1934,0.048495084,-0.11306378,0.210054
Southern hemisphere,,1935,0.018198311,-0.13833499,0.17473163
Southern hemisphere,,1936,0.06571981,-0.080456376,0.21189599
Southern hemisphere,,1937,0.18360215,0.024371207,0.3428331
Southern hemisphere,,1938,0.1598766,0.002526314,0.3172269
Southern hemisphere,,1939,0.20878066,0.037444115,0.3801172
Southern hemisphere,,1940,0.37365705,0.18157998,0.56573415
Southern hemisphere,,1941,0.34453455,0.074234456,0.61483467
Southern hemisphere,,1942,0.2864372,0.012148024,0.5607264
Southern hemisphere,,1943,0.24413194,-0.046696603,0.5349605
Southern hemisphere,,1944,0.41191113,0.13103221,0.69279003
Southern hemisphere,,1945,0.3464084,0.062481463,0.63033533
Southern hemisphere,,1946,0.117611066,-0.09452799,0.3297501
Southern hemisphere,,1947,0.1171457,-0.08494046,0.31923187
Southern hemisphere,,1948,0.09522241,-0.10229656,0.2927414
Southern hemisphere,,1949,0.123673946,-0.0508613,0.2982092
Southern hemisphere,,1950,0.081415236,-0.093136966,0.25596747
